Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-88.23001	-119.3971	31.16705	0.285114	3.199432	0.8770455
6	-91.81234	-122.9502	31.13788	0.1341495	3.199432	1.063488
12	-91.8879	-120.2462	28.3583	0.5964485	18.21475	0.7051438
18	-92.06809	-121.6333	29.56525	0.8414143	6.918053	0.8482562
24	-90.25647	-119.7735	29.517	0.3555768	5.394454	1.61921
30	-92.06545	-122.3351	30.26965	0.4019006	4.1956	1.274827
36	-89.24337	-119.8587	30.61532	0.3834432	4.1956	0.9794214
42	-87.09154	-118.0858	30.99429	0.1130758	3.870934	0.9794214
48	-89.8993	-120.2818	30.38253	1.007037	3.870934	0.5477332
54	-88.32545	-118.0829	29.75742	0.6111815	7.837711	0.4090124
60	-90.29924	-121.4409	31.1417	0.6111815	2.878792	0.6236904
66	-92.61281	-123.1624	30.54962	0.8400867	3.681673	0.7126655
72	-92.47205	-122.0955	29.62347	0.6427181	8.456708	0.5539726
78	-96.82014	-126.1779	29.35772	0.6427181	9.958757	0.4131687
84	-88.37778	-117.5022	29.12441	0.7329541	10.40175	0.745272
90	-88.0718	-117.7895	29.7177	0.7329541	7.296351	0.3651397
96	-91.60238	-124.6433	33.04091	0.4840971	0.5313505	0.3811943
102	-89.50348	-120.7628	31.25934	0.8096632	2.196395	0.6615731
108	-93.10446	-125.1855	32.08106	0.2122149	1.742472	0.741944
114	-90.94015	-123.0077	32.06759	0.4977935	1.26365	0.8508993
120	-90.16309	-119.274	29.11094	0.5313103	11.69397	0.7852964
126	-96.47532	-126.1247	29.6494	0.4223735	6.143565	1.326411
132	-92.48157	-123.9561	31.47456	0.6255152	1.164291	1.3615
138	-88.97046	-120.1599	31.18944	0.6759604	2.433554	0.7901987
144	-97.17539	-128.9618	31.78644	0.1198357	1.450271	1.329495
150	-95.97878	-127.1487	31.1699	0.2998873	2.355142	1.22865
156	-92.05437	-122.159	30.10468	0.4388849	5.123738	1.148322
162	-91.01692	-121.9136	30.89666	0.9065388	2.518717	0.8166889
168	-92.84497	-122.2535	29.40858	1.025425	7.512189	0.4121644
174	-96.6399	-128.2972	31.65735	0.3190798	2.327385	0.7042413
180	-99.64743	-131.2321	31.58463	0.563271	2.119236	0.5609585
186	-100.2469	-130.952	30.70515	0.7276986	3.605433	0.3514094
192	-93.24743	-122.7566	29.50922	0.7276986	8.649884	0.4982754
198	-88.6953	-118.5704	29.87507	0.4559403	7.56083	0.7736642
204	-91.41235	-121.2568	29.84445	1.3691	3.995416	0.2812796
210	-90.53089	-117.8092	27.2783	1.860398	14.99269	0.2401152
216	-100.9313	-128.5174	27.58617	1.860398	13.88776	0.3815152
222	-91.47156	-121.2573	29.78576	0.4432208	8.624179	0.4249978
228	-96.46412	-123.4586	26.99445	1.285965	25.14026	0.2611541
234	-93.92	-123.2238	29.30381	0.7226177	8.757733	0.8761867
240	-91.26851	-120.0819	28.81337	1.285965	9.121447	0.3513575
246	-91.6197	-122.3839	30.76425	0.5688194	2.958908	1.09982
252	-89.5559	-119.7798	30.2239	0.02128497	5.870663	1.238195
258	-86.28751	-117.0031	30.71562	0.1316544	4.984481	0.8863611
264	-97.11723	-128.1507	31.0335	1.377145	1.699711	0.5057649
270	-89.65425	-119.4833	29.82909	0.2534825	8.921333	0.7677793
276	-87.2153	-117.1411	29.92578	0.03369135	8.921333	0.9194844
282	-88.86311	-118.1922	29.32906	0.3939131	11.625	0.6712542
288	-88.08106	-119.353	31.27198	0.4384895	2.447285	0.9632242
294	-86.04333	-115.8021	29.75881	0.4969603	7.145217	0.9632242
300	-87.12035	-117.8415	30.7211	0.319794	3.069582	1.309876
306	-84.52548	-114.4933	29.96782	0.3686295	7.834312	0.6784538
312	-94.07429	-123.9942	29.91994	0.1334259	3.885148	1.811417
318	-87.11035	-117.9213	30.811	0.2606765	3.885148	1.010365
324	-95.05972	-125.4956	30.43591	1.076216	3.492547	0.4108696
330	-92.29363	-122.8459	30.55222	0.7406567	2.693846	1.238322
336	-92.40181	-123.0805	30.67871	0.2272536	4.317426	1.032913
342	-97.75246	-127.722	29.9695	1.472853	3.599341	0.3603923
348	-92.19571	-120.1238	27.92807	1.638879	9.971102	0.1625731
354	-99.16157	-128.7732	29.61162	0.02216073	4.893176	1.882712
360	-93.73811	-123.0301	29.29196	0.3499986	10.98203	0.9091179
366	-97.77365	-127.8074	30.03379	0.06587597	3.279752	1.932174
372	-92.93236	-122.1544	29.22204	1.469979	5.638779	0.2563927
378	-94.40307	-123.0177	28.6146	1.469979	8.445679	0.2520645
384	-89.76063	-119.235	29.47436	0.2474995	11.94678	0.5513615
390	-90.69946	-121.3942	30.69474	0.4482835	4.585151	0.6085401
396	-97.2631	-127.3689	30.10576	0.6974483	4.585151	1.052263
402	-100.7784	-132.3428	31.56443	0.6974483	1.834656	0.6965559
408	-94.72238	-124.7247	30.00232	0.1983971	6.233982	1.202108
414	-99.63886	-130.6758	31.03696	0.3822639	2.868454	1.056166
420	-95.04014	-125.6445	30.60433	0.4481799	3.689979	1.094109
426	-92.02486	-120.8371	28.81224	1.150606	10.26135	0.4414405
432	-101.1047	-129.2731	28.1684	0.6589437	15.80097	1.122845
438	-103.0159	-132.1836	29.16771	1.065856	7.220275	0.9700596
444	-98.63438	-129.143	30.50857	0.5910162	4.071966	0.9155505
450	-94.8403	-126.135	31.29473	0.8241133	1.85953	0.8734674
456	-89.13078	-119.8931	30.76232	0.2275104	2.615467	1.506098
462	-93.01608	-123.4858	30.46971	0.2275104	6.083688	0.7042723
468	-89.42947	-120.2392	30.80973	0.1428337	2.505065	1.573132
474	-98.77433	-128.4686	29.69429	0.09871898	4.254379	1.905639
480	-96.77635	-126.2728	29.49646	0.6678735	8.937594	0.6125623
486	-93.54911	-123.3871	29.83795	0.2443261	8.937594	0.7641504
492	-96.88435	-126.709	29.82466	0.9897045	5.460823	0.7641504
498	-95.27072	-126.4806	31.2099	0.2273182	2.508763	1.190591
504	-94.65779	-123.3546	28.69685	0.8946362	12.10118	0.7788474
510	-90.69822	-119.7382	29.04	0.7988268	10.9957	0.6109845
516	-89.07553	-116.9453	27.86975	1.461944	13.51403	0.2498246
522	-91.6804	-120.846	29.1656	0.7668222	10.4207	0.5865788
528	-91.23235	-122.3007	31.06837	0.9882389	2.264697	0.6032318
534	-98.08476	-127.5099	29.42518	0.5116491	8.353987	1.045655
540	-98.08136	-129.322	31.24067	0.4343767	1.852316	1.294201
546	-91.915	-123.3555	31.44054	0.1797949	1.772329	1.378433
552	-90.90081	-120.9189	30.01805	0.02275951	7.368413	1.125597
558	-92.0635	-122.2881	30.22465	0.3297058	5.831637	0.9624649
564	-91.73934	-121.7488	30.0095	0.6282014	4.592829	1.199228
570	-91.48129	-121.3	29.81871	0.06533419	5.031378	1.681596
576	-93.35846	-124.8452	31.48675	0.2946125	1.827869	1.218606
582	-88.85857	-119.7879	30.92929	0.1165905	3.330626	1.218606
588	-96.19833	-128.5183	32.31995	1.269027	0.4580896	0.745983
594	-88.95678	-117.7202	28.76344	1.605642	5.815168	0.1600105
600	-99.85514	-130.7387	30.88356	1.008382	2.60833	0.4300589
606	-95.20523	-124.6877	29.48245	0.6153635	6.44021	1.248845
612	-87.69767	-118.2412	30.5435	1.053495	3.193395	0.3584096
618	-89.44298	-119.5015	30.05849	0.1711178	6.579516	1.106922
624	-95.99578	-125.2082	29.21243	0.7024021	9.319066	0.893749
630	-89.63411	-119.6788	30.04467	0.7067381	5.681046	0.7733782
636	-94.66307	-124.566	29.90297	0.7067381	6.265706	0.7733782
642	-93.96093	-125.1118	31.15091	0.3511743	2.853346	0.9813153
648	-90.64588	-120.6802	30.03431	0.4825999	5.140673	1.167689
654	-85.39738	-115.6413	30.24391	0.4053711	4.618221	1.182689
